#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,FligthSpeed,Battery,
http://data.flightstream.io/sg/0002/P3030223.JPG,http://data.flightstream.io/sg/0002/tn/P3030223.JPG,1.400158,103.897426,55.96,28.75,0.13,2.96,2,82%,
http://data.flightstream.io/sg/0002/P3030224.JPG,http://data.flightstream.io/sg/0002/tn/P3030224.JPG,1.400164,103.897426,55.81,28.75,-0.37,2.28,2,82%,
http://data.flightstream.io/sg/0002/P3030225.JPG,http://data.flightstream.io/sg/0002/tn/P3030225.JPG,1.400168,103.897426,55.79,28.64,-0.24,1.53,2,82%,
http://data.flightstream.io/sg/0002/P3030226.JPG,http://data.flightstream.io/sg/0002/tn/P3030226.JPG,1.400173,103.897425,55.88,28.93,-0.41,3.27,2,81%,
http://data.flightstream.io/sg/0002/P3030227.JPG,http://data.flightstream.io/sg/0002/tn/P3030227.JPG,1.400173,103.897423,56.81,29.85,-0.04,1.72,2,81%,
http://data.flightstream.io/sg/0002/P3030228.JPG,http://data.flightstream.io/sg/0002/tn/P3030228.JPG,1.40017,103.897422,58.19,31.12,0.24,0.46,3,80%,
http://data.flightstream.io/sg/0002/P3030229.JPG,http://data.flightstream.io/sg/0002/tn/P3030229.JPG,1.400168,103.897422,59.42,32.64,-0.33,0.05,3,80%,
http://data.flightstream.io/sg/0002/P3030230.JPG,http://data.flightstream.io/sg/0002/tn/P3030230.JPG,1.400168,103.897422,60.55,33.76,-0.73,0.8,1,80%,
http://data.flightstream.io/sg/0002/P3030231.JPG,http://data.flightstream.io/sg/0002/tn/P3030231.JPG,1.400171,103.897422,62,35.19,-0.34,1.49,2,79%,
http://data.flightstream.io/sg/0002/P3030232.JPG,http://data.flightstream.io/sg/0002/tn/P3030232.JPG,1.400173,103.897422,63.08,36.52,-0.55,1.66,1,79%,
http://data.flightstream.io/sg/0002/P3030233.JPG,http://data.flightstream.io/sg/0002/tn/P3030233.JPG,1.400175,103.897422,64.37,37.69,-0.3,1.5,2,79%,
http://data.flightstream.io/sg/0002/P3030234.JPG,http://data.flightstream.io/sg/0002/tn/P3030234.JPG,1.400176,103.897421,66.51,39.78,-0.19,1,2,79%,
http://data.flightstream.io/sg/0002/P3030235.JPG,http://data.flightstream.io/sg/0002/tn/P3030235.JPG,1.400176,103.897421,68.16,41.5,-0.31,0.98,2,79%,
