#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll
http://cdn.itchimi.asia/flightstream/IMG_7588_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7588_NIR.jpg,42.5398974,-94.3909943,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7589_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7589_NIR.jpg,42.5402802,-94.3909737,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7590_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7590_NIR.jpg,42.5406408,-94.3909938,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7591_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7591_NIR.jpg,42.5409841,-94.3910025,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7592_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7592_NIR.jpg,42.5413328,-94.3909449,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7593_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7593_NIR.jpg,42.5416709,-94.3909653,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7594_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7594_NIR.jpg,42.5420215,-94.3909862,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7595_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7595_NIR.jpg,42.542399,-94.3909589,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7596_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7596_NIR.jpg,42.5427269,-94.3909357,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7597_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7597_NIR.jpg,42.5419347,-94.3907092,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7598_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7598_NIR.jpg,42.5414659,-94.3906455,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7599_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7599_NIR.jpg,42.5409864,-94.3906783,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7600_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7600_NIR.jpg,42.5405136,-94.3906904,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7601_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7601_NIR.jpg,42.5400219,-94.3906981,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7602_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7602_NIR.jpg,42.5395237,-94.3907087,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7603_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7603_NIR.jpg,42.5390615,-94.3906849,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7604_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7604_NIR.jpg,42.5386048,-94.3907203,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7605_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7605_NIR.jpg,42.538146,-94.3907267,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7606_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7606_NIR.jpg,42.5385368,-94.3904505,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7607_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7607_NIR.jpg,42.5388801,-94.3903901,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7608_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7608_NIR.jpg,42.5392282,-94.3904383,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7609_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7609_NIR.jpg,42.539558,-94.3903799,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7610_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7610_NIR.jpg,42.5400112,-94.3904507,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7611_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7611_NIR.jpg,42.5403746,-94.3903866,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7612_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7612_NIR.jpg,42.5407315,-94.3903812,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7613_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7613_NIR.jpg,42.5410707,-94.3903734,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7614_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7614_NIR.jpg,42.5414009,-94.390398,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7615_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7615_NIR.jpg,42.5417133,-94.3903617,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7616_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7616_NIR.jpg,42.5420508,-94.3903536,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7617_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7617_NIR.jpg,42.5424013,-94.3903748,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7618_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7618_NIR.jpg,42.5427424,-94.3903461,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7619_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7619_NIR.jpg,42.5419599,-94.3901285,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7620_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7620_NIR.jpg,42.5415055,-94.3900416,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7621_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7621_NIR.jpg,42.5410812,-94.390079,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7622_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7622_NIR.jpg,42.5406263,-94.3901274,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7623_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7623_NIR.jpg,42.5401471,-94.3900954,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7624_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7624_NIR.jpg,42.5396915,-94.3900879,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7625_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7625_NIR.jpg,42.5392287,-94.39011,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7626_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7626_NIR.jpg,42.5387583,-94.3901012,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7627_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7627_NIR.jpg,42.5382929,-94.3901156,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7628_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7628_NIR.jpg,42.5386527,-94.3898317,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7629_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7629_NIR.jpg,42.5389962,-94.3897956,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7630_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7630_NIR.jpg,42.5393478,-94.3898566,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7631_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7631_NIR.jpg,42.5396793,-94.3898111,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7632_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7632_NIR.jpg,42.5400197,-94.3897594,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7633_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7633_NIR.jpg,42.5403682,-94.3897883,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7634_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7634_NIR.jpg,42.5407138,-94.3897757,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7635_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7635_NIR.jpg,42.5410342,-94.3897964,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7636_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7636_NIR.jpg,42.5413519,-94.3897487,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7637_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7637_NIR.jpg,42.5417124,-94.3897561,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7638_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7638_NIR.jpg,42.5420677,-94.3897579,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7639_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7639_NIR.jpg,42.5424203,-94.3897777,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7640_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7640_NIR.jpg,42.5419652,-94.3895214,134,0,0,0
