#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Roll,Pitch,Yaw,FligthSpeed,Battery
http://data.flightstream.io/sg/0001/P7170088.jpg,http://data.flightstream.io/sg/0001/tn/P7170088.jpg,1.348156,103.859723,25.28,-0.42,-3.92,175.11,10,76%
http://data.flightstream.io/sg/0001/P7170089.jpg,http://data.flightstream.io/sg/0001/tn/P7170089.jpg,1.348095,103.859722,25.02,-0.95,-3.59,174.43,10,76%
http://data.flightstream.io/sg/0001/P7170090.jpg,http://data.flightstream.io/sg/0001/tn/P7170090.jpg,1.348026,103.859719,24.75,-0.95,-2.82,174.14,10,76%
http://data.flightstream.io/sg/0001/P7170091.jpg,http://data.flightstream.io/sg/0001/tn/P7170091.jpg,1.347966,103.859716,25.04,-0.71,-3.7,174.51,10,76%
http://data.flightstream.io/sg/0001/P7170092.jpg,http://data.flightstream.io/sg/0001/tn/P7170092.jpg,1.347906,103.859709,24.66,-2.44,-5.28,174.98,9,75%
http://data.flightstream.io/sg/0001/P7170093.jpg,http://data.flightstream.io/sg/0001/tn/P7170093.jpg,1.347858,103.859697,24.9,-4.51,1.94,175.13,9,75%
http://data.flightstream.io/sg/0001/P7170094.jpg,http://data.flightstream.io/sg/0001/tn/P7170094.jpg,1.347859,103.859694,25.05,-1.72,-4.93,176.39,9,74%
http://data.flightstream.io/sg/0001/P7170095.jpg,http://data.flightstream.io/sg/0001/tn/P7170095.jpg,1.347855,103.859693,25.09,-2.27,-4.51,175.27,9,74%
http://data.flightstream.io/sg/0001/P7170096.jpg,http://data.flightstream.io/sg/0001/tn/P7170096.jpg,1.347838,103.859693,24.98,-0.09,-2.2,174.63,10,73%
http://data.flightstream.io/sg/0001/P7170097.jpg,http://data.flightstream.io/sg/0001/tn/P7170097.jpg,1.347823,103.859676,24.86,4.23,1.09,175.51,10,73%
http://data.flightstream.io/sg/0001/P7170098.jpg,http://data.flightstream.io/sg/0001/tn/P7170098.jpg,1.347815,103.859623,25.02,-8.78,-2.24,174.92,10,73%
http://data.flightstream.io/sg/0001/P7170099.jpg,http://data.flightstream.io/sg/0001/tn/P7170099.jpg,1.347811,103.859605,24.94,-4.22,3.82,175.06,10,72%
http://data.flightstream.io/sg/0001/P7170100.jpg,http://data.flightstream.io/sg/0001/tn/P7170100.jpg,1.347841,103.859613,24.87,-1.33,3.92,174.19,10,72%
http://data.flightstream.io/sg/0001/P7170101.jpg,http://data.flightstream.io/sg/0001/tn/P7170101.jpg,1.347914,103.859614,24.99,-2.61,-0.85,176.48,10,72%
http://data.flightstream.io/sg/0001/P7170102.jpg,http://data.flightstream.io/sg/0001/tn/P7170102.jpg,1.347972,103.859616,24.98,-2.6,1.71,174.78,9,72%
http://data.flightstream.io/sg/0001/P7170103.jpg,http://data.flightstream.io/sg/0001/tn/P7170103.jpg,1.348037,103.859618,24.87,-2.53,0.9,177.06,9,72%
http://data.flightstream.io/sg/0001/P7170104.jpg,http://data.flightstream.io/sg/0001/tn/P7170104.jpg,1.348098,103.859617,24.92,-3.39,2.38,177.11,9,72%
http://data.flightstream.io/sg/0001/P7170105.jpg,http://data.flightstream.io/sg/0001/tn/P7170105.jpg,1.348154,103.859617,25,-3.64,2.42,178,9,71%
http://data.flightstream.io/sg/0001/P7170106.jpg,http://data.flightstream.io/sg/0001/tn/P7170106.jpg,1.348215,103.859614,25.08,-4.07,2.94,178.03,10,71%
http://data.flightstream.io/sg/0001/P7170107.jpg,http://data.flightstream.io/sg/0001/tn/P7170107.jpg,1.348268,103.859609,25.16,-4.61,4.25,178.61,10,71%
http://data.flightstream.io/sg/0001/P7170108.jpg,http://data.flightstream.io/sg/0001/tn/P7170108.jpg,1.348338,103.859602,24.91,-6.31,1.12,176.54,10,70%
http://data.flightstream.io/sg/0001/P7170109.jpg,http://data.flightstream.io/sg/0001/tn/P7170109.jpg,1.348402,103.859606,25.06,-3.64,1.35,177.05,10,70%
http://data.flightstream.io/sg/0001/P7170110.jpg,http://data.flightstream.io/sg/0001/tn/P7170110.jpg,1.348459,103.859614,24.87,-4.55,3.25,174.81,10,70%
http://data.flightstream.io/sg/0001/P7170111.jpg,http://data.flightstream.io/sg/0001/tn/P7170111.jpg,1.348512,103.859629,25.09,-1.57,5.45,175.41,10,70%
http://data.flightstream.io/sg/0001/P7170112.jpg,http://data.flightstream.io/sg/0001/tn/P7170112.jpg,1.34857,103.859635,25.03,-2.95,3.62,175.9,10,69%
http://data.flightstream.io/sg/0001/P7170113.jpg,http://data.flightstream.io/sg/0001/tn/P7170113.jpg,1.348633,103.859634,25.06,-4.23,4.11,175.13,10,69%
http://data.flightstream.io/sg/0001/P7170114.jpg,http://data.flightstream.io/sg/0001/tn/P7170114.jpg,1.348699,103.859633,25.07,-3.73,3.44,175.89,10,69%
http://data.flightstream.io/sg/0001/P7170115.jpg,http://data.flightstream.io/sg/0001/tn/P7170115.jpg,1.348758,103.859635,25.06,-3.67,4.02,176.28,10,69%
http://data.flightstream.io/sg/0001/P7170116.jpg,http://data.flightstream.io/sg/0001/tn/P7170116.jpg,1.348821,103.859639,25.08,-3.37,4.22,176.3,10,68%
http://data.flightstream.io/sg/0001/P7170117.jpg,http://data.flightstream.io/sg/0001/tn/P7170117.jpg,1.348877,103.859639,24.93,-4.32,5.47,176.05,10,68%
http://data.flightstream.io/sg/0001/P7170118.jpg,http://data.flightstream.io/sg/0001/tn/P7170118.jpg,1.348937,103.859639,25.11,-4.16,6.07,175.26,9,68%
http://data.flightstream.io/sg/0001/P7170119.jpg,http://data.flightstream.io/sg/0001/tn/P7170119.jpg,1.348996,103.859639,25.24,-4.8,6.4,175.82,10,65%
http://data.flightstream.io/sg/0001/P7170120.jpg,http://data.flightstream.io/sg/0001/tn/P7170120.jpg,1.349057,103.859644,25.52,-3.37,4.45,174.73,9,65%
http://data.flightstream.io/sg/0001/P7170121.jpg,http://data.flightstream.io/sg/0001/tn/P7170121.jpg,1.349118,103.859645,24.88,-3.21,-4.57,176.58,10,65%
http://data.flightstream.io/sg/0001/P7170122.jpg,http://data.flightstream.io/sg/0001/tn/P7170122.jpg,1.349124,103.859643,25.2,-5.1,4.75,174.74,10,65%
http://data.flightstream.io/sg/0001/P7170123.jpg,http://data.flightstream.io/sg/0001/tn/P7170123.jpg,1.349134,103.859646,24.89,-4.47,2.37,175,9,65%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
